province,city,district,show_address,full_address,cnt_sum_certain
安徽省,亳州市,利辛县,刘沈村刘寨,安徽省亳州市利辛县王市镇刘沈村刘寨,-1
安徽省,亳州市,利辛县,东潘楼村,安徽省亳州市利辛县西潘楼镇东潘楼村,1
安徽省,亳州市,利辛县,东潘楼村东潘楼,安徽省亳州市利辛县西潘楼镇东潘楼村东潘楼,1
安徽省,亳州市,利辛县,张集村东刘,安徽省亳州市利辛县西潘楼镇张集村东刘,-1
安徽省,亳州市,利辛县,纪王场乡纪竹园庄,安徽省亳州市利辛县纪王场乡纪竹园庄,-1
安徽省,亳州市,涡阳县,付庄行政村付庄,安徽省亳州市涡阳县新兴镇付庄行政村付庄,-1
安徽省,亳州市,涡阳县,桂语城栖,安徽省亳州市涡阳县星园街道桂语城栖,-1
安徽省,亳州市,涡阳县,医苑新村,安徽省亳州市涡阳县城关镇街道医苑新村,-1
安徽省,亳州市,涡阳县,巨人印象小区,安徽省亳州市涡阳县城关街道巨人印象小区,5
安徽省,亳州市,涡阳县,巨人印象小区,安徽省亳州市涡阳县巨人印象小区,3
安徽省,亳州市,涡阳县,紫光大道与育英路交口向南,安徽省亳州市涡阳县城关街道紫光大道与育英路交口向南,2
安徽省,亳州市,涡阳县,乐行家园,安徽省亳州市涡阳县城关镇乐行家园,1
安徽省,亳州市,涡阳县,北环中路,安徽省亳州市涡阳县城关镇街道北环中路,-1
安徽省,亳州市,涡阳县,幸福港湾,安徽省亳州市涡阳县新汽车站对面路北小区幸福港湾,1
安徽省,亳州市,涡阳县,俞庄社区桂语城栖小区,安徽省亳州市涡阳县星园街道俞庄社区“桂语城栖”小区,1
安徽省,亳州市,涡阳县,李庄行政村李庄,安徽省亳州市涡阳县马店集镇李庄行政村李庄,-1
安徽省,亳州市,涡阳县,孙小桥行政村李楼,安徽省亳州市涡阳县花沟镇孙小桥行政村李楼,-1
安徽省,亳州市,涡阳县,孙小桥行政村,安徽省亳州市涡阳县花沟镇孙小桥行政村,1
安徽省,亳州市,涡阳县,大围子自然村,安徽省亳州市涡阳县新兴镇左楼行政村大围子自然村,1
安徽省,亳州市,涡阳县,狄马村,安徽省亳州市涡阳县花沟镇狄马村,1
安徽省,亳州市,涡阳县,左楼村,安徽省亳州市涡阳县新兴镇左楼村,1
安徽省,亳州市,涡阳县,左楼付庄,安徽省亳州市涡阳县新兴镇左楼付庄,-1
安徽省,亳州市,涡阳县,付庄行政村,安徽省亳州市涡阳县新兴镇付庄行政村,1
安徽省,亳州市,蒙城县,常兴社区前尹塘庄,安徽省亳州市蒙城县楚村镇常兴社区前尹塘庄,1
安徽省,亳州市,蒙城县,乐土镇柳林街,安徽省亳州市蒙城县乐土镇柳林街,-1
安徽省,亳州市,蒙城县,双桥村褚尹庄,安徽省亳州市蒙城县乐土镇双桥村褚尹庄,-1
